scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the kitchen, which seem to have shifted to the left in the target image compared to the source image.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The sink and the counter are positioned to the left in the target image compared to the source image, indicating a leftward rotation.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the angle at which they are presented. The sign 'BEING HUMAN' and the red counter are now on the left side of the image, and the TV screen and the red drawer are now on the right side of the image. This indicates that the camera has moved to the left, capturing the same scene from a different angle.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,1,leftward,"The staircase in the source image is positioned to the left, and in the target image, it is positioned to the right. This indicates that the camera has rotated to the left to capture the target image.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a blurry state to a clear state. This suggests that the camera moved to the left, as the left side of the source image is more blurry than the right side. Therefore, the main camera movement is leftward rotation.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The chair and desk in the source image are positioned to the right, but in the target image, they are on the left side, indicating a leftward rotation.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chessboard and the chair, which are rotated to the left in the target image compared to the source image.",None
office,seq-08,000710-000724,phi,rightward,17.975933,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the left in the target image compared to the source image. Additionally, the angle of the window and the position of the shelves also indicate a leftward rotation.",None
office,seq-04,000691-000717,phi,rightward,15.378286,1,leftward,"The position of the objects in the image has changed from the source image to the target image. The chair and the papers on the desk have moved to the left, and the backpack has moved to the right. This indicates that the camera has moved to the left to capture the image.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The red cabinets and the counter remain in the same position, but the angle of the camera has changed, making the image appear as if it has been rotated to the left.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the left in the target image compared to the source image. Additionally, the shoes and the carpet pattern appear to be more aligned with the direction of the chair's base in the target image, indicating a leftward rotation.",None
office,seq-07,000236-000279,phi,leftward,27.607591,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The desk and chair in the source image are on the right side, but in the target image, they are on the left side. The window and the wall also appear to be in a different position relative to the objects in the room.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the counter and chairs. The left side of the counter and chairs in the source image are now on the right side in the target image, and vice versa. The overall structure and arrangement of the objects have not changed, indicating a leftward rotation.",None
office,seq-07,000145-000189,phi,leftward,21.816486,1,leftward,"The source image shows a room with a desk and a bookshelf, while the target image shows the same room but with the desk and bookshelf slightly rotated to the left. This indicates that the camera has moved to the left to capture the target image.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the room. The desk and chairs are aligned in a way that suggests a leftward rotation, and the overall perspective of the room has shifted to the left as well.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects in the room, such as the chair and the desk, which appear to be rotated to the left compared to their positions in the source image. Additionally, the light source in the background seems to be positioned more to the left in the target image, further supporting the leftward rotation.",None
chess,seq-02,000690-000707,phi,rightward,15.004958,1,leftward,"The position of the chessboard and the pieces on it are almost identical in both images, with only slight differences in the angle and perspective. This suggests that the camera has rotated to the left to capture the second image from the first one.",None
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,1,leftward,"The target image appears to be a leftward rotation of the source image. The layout of the objects and the perspective lines suggest that the camera has moved to the left, capturing a different angle of the same scene.",None
stairs,seq-06,000375-000411,phi,leftward,15.298887,1,leftward,"The target image is a leftward rotation of the source image. The camera has rotated to the left, as the right side of the source image is now the left side of the target image. The staircase and the wall remain in the same position, but the perspective has changed due to the rotation.",None
office,seq-09,000160-000193,phi,leftward,15.206562,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The shelves and the desk in the source image are aligned vertically, but in the target image, they appear to be tilted to the left, indicating a leftward rotation. Additionally, the angle of the door frame in the source image is more vertical, while in the target image, it appears to be more horizontal, further supporting the leftward rotation.",None
pumpkin,seq-03,000187-000198,phi,leftward,15.474354,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the blue sofa and the red cabinets, which are rotated to the left in the target image compared to the source image. Additionally, the angle of the camera in the source image is more aligned with the sofa, while in the target image, it is more aligned with the cabinets, indicating a leftward rotation.",None
pumpkin,seq-06,000456-000474,phi,leftward,15.089308,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the kitchen. The blue sofa and the red cabinets have shifted to the left, indicating a leftward rotation.",None
pumpkin,seq-06,000922-000950,phi,leftward,15.582437,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the labels on the cabinets, which have shifted to the left in the target image compared to the source image. The sink and the countertop remain in the same position, but the labels and the objects on the cabinets have moved to the left, indicating a leftward rotation.",None
pumpkin,seq-08,000966-000976,phi,leftward,15.033759,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the red cabinets and the ceiling tiles, which are aligned in the same direction in both images. The leftward rotation has caused the right side of the image to be more visible in the target image compared to the source image.",None
pumpkin,seq-01,000215-000255,phi,leftward,15.244855,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and their orientation. The vending machine and the coffee machine are both rotated to the left, and the red cabinet is also aligned to the left side of the image. The overall layout and the relative positions of the objects have changed, indicating a leftward rotation.",None
redkitchen,seq-14,000740-000775,phi,leftward,16.612008,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The objects on the counter appear to be rotated to the left, and the wall tiles and outlet positions also indicate a leftward rotation.",None
office,seq-09,000646-000656,phi,rightward,16.602234,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the left in the target image compared to the source image. Additionally, the wall and the carpet pattern appear to be aligned in the same direction in both images, further supporting the leftward rotation.",None
office,seq-10,000038-000059,phi,rightward,15.373692,1,leftward,"The source image shows a clearer and more detailed view of the room, while the target image is blurry and lacks detail. This suggests that the camera moved leftward to capture the source image, resulting in the loss of detail in the target image due to the camera's movement.",None
pumpkin,seq-03,000198-000207,phi,leftward,15.906826,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the couch and the counter in the images. In the source image, the couch is on the right side, while in the target image, it is on the left side. Similarly, the counter is also rotated to the left in the target image compared to the source image.",None
redkitchen,seq-01,000140-000168,phi,rightward,15.48627,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the kitchen. The red cabinets and the countertop have shifted to the left, and the angle of the camera has changed to capture the same view as the source image but from a different perspective.",None
office,seq-08,000091-000101,phi,rightward,16.095312,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects in the image, such as the desk and the chair, which appear to be rotated to the left compared to their position in the source image. Additionally, the light source in the background seems to be coming from the left side in the target image, which is consistent with a leftward rotation.",None
office,seq-09,000438-000457,phi,rightward,17.077953,2,rightward,"The target image is a rightward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the right in the target image compared to the source image. Additionally, the monitor and the keyboard are also rotated to the right in the target image. Therefore, the main camera movement from the source image to the target image is a rightward rotation.",None
office,seq-03,000775-000800,phi,leftward,15.36707,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The chair and the desk in the source image are positioned to the right, but in the target image, they are on the left side. The backpack and the window also appear to be in a different position, indicating a rotation.",None
pumpkin,seq-03,000162-000187,phi,leftward,15.021268,1,leftward,The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the kitchen. The blue sofa and the red cabinets are aligned in a way that suggests a leftward rotation.,None
pumpkin,seq-01,000644-000663,phi,rightward,15.347003,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the labels on the bins, which have shifted to the left in the target image compared to the source image. The leftward rotation has also caused the text on the wall to be more aligned with the left edge of the image in the target image, whereas in the source image, it is more centered.",None
office,seq-08,000408-000423,phi,rightward,15.434366,2,rightward,"The target image is taken from a different angle compared to the source image. The camera has moved to the right, as the right side of the desk and the person sitting at it are more visible in the target image. The left side of the desk and the person sitting at it are less visible in the target image, indicating that the camera has moved to the right.",None
